Exposure1,Outcome,Exposure2,Method,Estimate_Exposure1,StdErr_Exposure1,Pvalue_Exposure1,Estimate_Exposure2,StdErr_Exposure2,Pvalue_Exposure2,OR_Exposure1,Lower_OR_CI_95%_Exposure1,Upper_OR_CI_95%_Exposure1,OR_Exposure2,Lower_OR_CI_95%_Exposure2,Upper_OR_CI_95%_Exposure2,Heterogeneity_Pvalue,Intercept_Pvalue,Direction_Exposure1,Significance_Exposure1,Direction_Exposure2,Significance_Exposure2
GCST90011816,PLifespan,4066,MR-Egger,-0.0712364151387716,0.0238021993743397,0.00276385449142757,0.376031892847074,0.0166486976693155,5.91418909099474e-113,0.931241706463742,0.888794946959044,0.975715623524425,1.45649358475752,1.40973317009622,1.50480502795789,1.72996711601661e-22,0.224241210275143,negative,S,positive,S
PGC2021ALZwoUKBB,PLifespan,4066,IVW,-0.0792240492411327,0.00391442940626635,4.44289931381647e-91,0.383128059754025,0.0166808207577676,9.69944470943298e-117,0.923832917192013,0.916772131669417,0.930948083394906,1.46686586452292,1.41968306220183,1.51561677517337,2.38277983697723e-32,NA,negative,S,positive,S
PGC2021ALZwoUKBB,PLifespan,4066,MR-Egger,-0.084502883766295,0.00421944530222556,3.2030625626389e-89,0.389787355217516,0.0167096621773042,2.35613866503824e-120,0.918969005281167,0.91140036783537,0.926600495754906,1.47666675501354,1.42908791250093,1.52582964720919,7.22558406829337e-31,0.00121231169752784,negative,S,positive,S
PGC2022SCZ,PLifespan,4066,IVW,-0.00670696567367293,0.00481018331609248,0.163219056787792,0.395297590548509,0.0169426570078425,2.12411747333063e-120,0.993315475821127,0.98399454566048,1.00272469888893,1.48482599536164,1.43632818099593,1.53496134495737,8.26720436759841e-55,NA,negative,NS,positive,S
PGC2022SCZ,PLifespan,4066,MR-Egger,-0.00190174938092866,0.00722076906139369,0.792263763898009,0.394925800964314,0.0169495468347795,4.42495571130668e-120,0.998100057798643,0.984073729147656,1.01232630835548,1.4842740551314,1.4357748794743,1.53441148903708,8.55684503948845e-55,0.372202515748286,negative,NS,positive,S
PGC2019ALCUSE,PLifespan,4066,IVW,-0.113326841138299,0.0948878901667668,0.232351431855275,0.398959126424708,0.017107448775755,2.72849281783477e-120,0.892858789437861,0.741331707157149,1.07535777868388,1.49027270458893,1.44113143932585,1.54108964209519,6.66177608613299e-26,NA,negative,NS,positive,S
PGC2019ALCUSE,PLifespan,4066,MR-Egger,-0.116373012194063,0.127037530018358,0.359639503138998,0.398891700375248,0.0172211063328722,1.07638945124834e-118,0.890143127122483,0.693942225132016,1.14181664995621,1.49017222477536,1.44071329106271,1.54132905781271,5.15503722125105e-26,0.971206476872339,negative,NS,positive,S
4307,PLifespan,4066,IVW,-0.0664466469509124,0.016815015472625,7.76220887012505e-05,0.36250456022972,0.0185826763770887,9.45076075009349e-85,0.935712837657538,0.905376791910367,0.9670653394038,1.43692377367368,1.3855296904882,1.49022424096959,1.99779037318563e-29,NA,negative,S,positive,S
4307,PLifespan,4066,MR-Egger,-0.0542445406168079,0.0220163229837324,0.0137460184381765,0.357971609163353,0.0193208851734243,1.23446755897657e-76,0.947200449196055,0.907196200966183,0.988968747886824,1.43042500894064,1.37726916711883,1.48563240581592,1.98251712581269e-29,0.390448631479214,negative,S,positive,S
GCST90011809,PLifespan,4066,IVW,0.0230609697119316,0.010013352220263,0.0212776094979892,0.391812187841978,0.0164926138019815,9.33970922776646e-125,1.0233289297153,1.00344070504321,1.04361133959297,1.47965978720656,1.43259382492264,1.52827203900198,4.70244315000409e-27,NA,positive,S,positive,S
GCST90011809,PLifespan,4066,MR-Egger,0.0272592928048472,0.0115784172309961,0.0185566563898944,0.392366697481131,0.0165157231958516,9.26593057437098e-125,1.02763422638205,1.00457603324059,1.05122167789057,1.48048050034688,1.43332350928006,1.52918897772651,4.33278532659416e-27,0.469740433848953,positive,S,positive,S
GCST011364,PLifespan,4066,IVW,-0.362696788332247,0.0200611428168758,4.61687863112924e-73,0.281121481562505,0.0194007274203312,1.3962414071919e-47,0.69579737540007,0.668969621801525,0.723701005002081,1.32461451040192,1.27519110776153,1.37595344767369,3.14712054965798e-57,NA,negative,S,positive,S
GCST011364,PLifespan,4066,MR-Egger,-0.395303773963676,0.0237271187091009,2.54230918872071e-62,0.298017763412588,0.0204337055154555,3.51892637921473e-48,0.673475423873081,0.642872459526016,0.705535195729863,1.34718571828276,1.29429701293512,1.40223560852489,6.71647595273484e-56,0.0107602873698704,negative,S,positive,S
